ProjectDescriptionID,catchRawID,trapVisitID,commonName,releaseID,atCaptureRun,fishOrigin,lifeStage,forkLength,totalLength,n,visitTime,visitTime2,visitType,siteName,subSiteName,finalRun,actualCount,trap_start_date,trap_end_date
12,29371,1747,Chinook salmon,255,Fall,Natural,Parr,34,NA,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,NA,2026-01-01T10:45:08Z
12,29372,1747,Chinook salmon,255,Fall,Natural,Fry,35,NA,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29373,1747,Chinook salmon,255,Fall,Natural,Not recorded,39,NA,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29374,1747,Chinook salmon,255,Fall,Natural,Fry,34,NA,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29375,1747,Chinook salmon,255,Fall,Natural,Parr,35,NA,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29376,1747,Mosquitofish,255,Not recorded,Natural,Not recorded,NA,27,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29377,1747,Mosquitofish,255,Not recorded,Natural,Not recorded,NA,30,1,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z,Unplanned restart,Lower Feather River RST,RL,NA,Yes,2026-01-01T10:45:08Z,2026-01-01T10:45:08Z
12,29399,1749,Chinook salmon,255,Not recorded,Natural,Not recorded,NA,NA,0,2026-01-05T10:00:10Z,2026-01-05T10:00:10Z,Start trap & begin trapping,Lower Feather River RST,RL,NA,Yes,2026-01-05T10:00:10Z,2026-01-05T10:00:10Z
12,29400,1749,Steelhead / rainbow trout,255,Not recorded,Natural,Not recorded,NA,NA,0,2026-01-05T10:00:10Z,2026-01-05T10:00:10Z,Start trap & begin trapping,Lower Feather River RST,RL,NA,Yes,2026-01-05T10:00:10Z,2026-01-05T10:00:10Z
12,29403,1751,Chinook salmon,255,Fall,Natural,Parr,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-05T10:00:37Z,2026-01-06T10:00:57Z
12,29404,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29405,1751,Chinook salmon,255,Fall,Natural,Parr,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29406,1751,Chinook salmon,255,Fall,Natural,Button-up fry,33,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29407,1751,Chinook salmon,255,Fall,Natural,Button-up fry,37,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29408,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29409,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29410,1751,Chinook salmon,255,Fall,Natural,Parr,40,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29411,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29412,1751,Chinook salmon,255,Fall,Natural,Button-up fry,30,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29413,1751,Chinook salmon,255,Fall,Natural,Yolk sac fry (alevin),35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29414,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29415,1751,Chinook salmon,255,Fall,Natural,Button-up fry,32,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29416,1751,Chinook salmon,255,Fall,Natural,Button-up fry,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29417,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29418,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29419,1751,Chinook salmon,255,Fall,Natural,Parr,38,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29420,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29421,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29422,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29423,1751,Chinook salmon,255,Fall,Natural,Yolk sac fry (alevin),32,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29424,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29425,1751,Chinook salmon,255,Fall,Natural,Button-up fry,33,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29426,1751,Chinook salmon,255,Fall,Natural,Button-up fry,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29427,1751,Chinook salmon,255,Fall,Natural,Parr,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29428,1751,Chinook salmon,255,Fall,Natural,Parr,37,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29429,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29430,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29431,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29432,1751,Chinook salmon,255,Fall,Natural,Parr,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29433,1751,Chinook salmon,255,Fall,Natural,Parr,37,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29434,1751,Chinook salmon,255,Fall,Natural,Yolk sac fry (alevin),31,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29435,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29436,1751,Chinook salmon,255,Fall,Natural,Parr,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29437,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29438,1751,Chinook salmon,255,Fall,Natural,Button-up fry,33,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29439,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29440,1751,Chinook salmon,255,Fall,Natural,Button-up fry,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29441,1751,Chinook salmon,255,Fall,Natural,Parr,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29442,1751,Chinook salmon,255,Fall,Natural,Parr,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29443,1751,Chinook salmon,255,Fall,Natural,Button-up fry,33,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29444,1751,Chinook salmon,255,Fall,Natural,Button-up fry,36,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29445,1751,Chinook salmon,255,Fall,Natural,Parr,31,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29446,1751,Chinook salmon,255,Fall,Natural,Parr,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29447,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29448,1751,Chinook salmon,255,Fall,Natural,Button-up fry,34,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29449,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29450,1751,Chinook salmon,255,Fall,Natural,Parr,38,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29451,1751,Chinook salmon,255,Fall,Natural,Button-up fry,37,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29452,1751,Chinook salmon,255,Fall,Natural,Button-up fry,35,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29453,1751,Chinook salmon,255,Fall,Natural,Not recorded,NA,NA,400,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29454,1751,Chinook salmon,255,Fall,Natural,Not recorded,NA,NA,12,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
12,29455,1751,Chinook salmon,255,Spring,Natural,Parr,42,NA,1,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z,Continue trapping,Lower Feather River RST,RL,NA,Yes,2026-01-06T10:00:57Z,2026-01-06T10:00:57Z
